@relation QueryResult

@attribute Year numeric
@attribute Month numeric
@attribute Day numeric
@attribute WeekDay numeric
@attribute Comments numeric
@attribute Price numeric
@attribute StockQuantity numeric
@attribute SalesQuantity numeric

@data
2011,9,16,4,16.972222,5.99,8678,123
2011,9,17,5,17.25,5.99,8555,120
2011,9,18,6,21.666666,5.99,8672,166
2011,9,19,0,23.277777,5.99,8707,130
2011,9,20,1,23.027777,5.99,8759,111
2011,9,21,2,20,5.99,8818,99
2011,9,22,3,19.694444,5.99,8880,90
2011,9,23,4,22.222222,5.99,8953,92
2011,9,24,5,18.277777,5.99,8861,167
2011,9,25,6,17.777777,5.99,8938,173
2011,9,26,0,16.611111,5.99,8942,106
2011,9,27,1,21.111111,5.99,8996,89
2011,9,28,2,24.444444,5.99,9082,104
2011,9,29,3,20.305555,5.99,9132,83
2011,9,30,4,16.722222,5.99,9215,95
2011,10,1,5,18.277777,5.99,9120,125
2011,10,2,6,17,5.99,9220,154
2011,10,3,0,16.111111,5.99,9255,118
2011,10,4,1,16,5.99,9343,135
2011,10,5,2,14,5.99,9408,129
2011,10,6,3,12.222222,5.99,9486,136
2011,10,7,4,14.194444,5.99,9544,123
2011,10,8,5,14.388888,5.99,9421,155
2011,10,9,6,15.611111,5.99,9510,173
2011,10,10,0,19,5.99,9544,136
2011,10,11,1,18,5.99,9580,101
2011,10,12,2,15,5.99,9640,90
2011,10,13,3,20.861111,5.99,9739,118
2011,10,14,4,21.861111,5.99,9804,112
2011,10,15,5,18,5.99,9692,120
2011,10,16,6,17.777777,5.99,9804,161
2011,10,17,0,20,5.99,9844,130
2011,10,18,1,17.25,5.99,9910,125
2011,10,19,2,16.111111,5.99,9966,110
2011,10,20,3,15,5.99,10048,121
2011,10,21,4,15,5.99,10103,105
2011,10,22,5,18.583333,5.99,9998,122
2011,10,23,6,20.861111,5.99,10128,181
2011,10,24,0,16.416666,5.99,10164,146
2011,10,25,1,14.388888,5.99,10194,105
2011,10,26,2,12,5.99,10267,107
2011,10,27,3,15.305555,5.99,10332,101
2011,10,28,4,15.305555,5.99,10402,100
2011,10,29,5,15,5.99,10302,127
2011,10,30,6,16.416666,5.99,10431,185
2011,10,31,0,16,5.99,10452,135
2011,11,1,1,17.5,5.99,10527,139
2011,11,2,2,16.055555,5.99,10560,101
2011,11,3,3,11.166666,5.99,10640,110
2011,11,4,4,9.388888,5.99,10732,131
2011,11,5,5,10.888888,5.99,10601,156
2011,11,6,6,10.611111,5.99,10445,187
2011,11,7,0,10,5.99,10460,131
2011,11,8,1,10,5.99,10503,103
2011,11,9,2,10.861111,5.99,10577,106
2011,11,10,3,12.5,5.99,10661,119
2011,11,11,4,12.611111,5.99,10724,111
2011,11,12,5,11.722222,5.99,10613,156
2011,11,13,6,11.722222,5.99,10457,164
2011,11,14,0,11,5.99,10490,126
2011,11,15,1,12.222222,5.99,10551,116
2011,11,16,2,11.972222,5.99,10606,100
2011,11,17,3,12.5,5.99,10673,96
2011,11,18,4,11.722222,5.99,10774,126
2011,11,19,5,9.694444,5.99,10648,151
2011,11,20,6,10.305555,5.99,10497,184
2011,11,21,0,8.277777,5.99,10555,171
2011,11,22,1,10.555555,5.99,10600,145
2011,11,23,2,12.777777,5.99,10596,70
2011,11,25,4,10.611111,5.99,10693,96
2011,11,26,5,10.611111,5.99,10597,103
2011,11,27,6,8,5.99,10494,171
2011,11,28,0,9,5.99,10513,119
2011,11,29,1,8,5.99,10578,113
2011,11,30,2,9.805555,5.99,10641,105
2011,12,1,3,15.611111,5.99,10709,102
2011,12,2,4,15,5.99,10781,103
2011,12,3,5,12.222222,5.99,10678,135
2011,12,4,6,8.833333,5.99,10543,165
2011,12,5,0,9.138888,5.99,10587,138
2011,12,6,1,7.222222,5.99,10673,153
2011,12,7,2,7.25,5.99,10724,133
2011,12,8,3,5.611111,5.99,10789,127
2011,12,9,4,7.777777,5.99,10852,119
2011,12,10,5,7.222222,5.99,10733,153
2011,12,11,6,9,5.99,10840,189
2011,12,12,0,8.888888,5.99,10894,172
2011,12,13,1,8.277777,5.99,10946,153
2011,12,14,2,7.777777,5.99,11012,148
2011,12,15,3,8.138888,5.99,11063,128
2011,12,16,4,8.333333,5.99,11141,135
2011,12,17,5,7.638888,5.99,11006,168
2011,12,18,6,10,5.99,10838,218
2011,12,19,0,9.388888,5.99,10845,154
2011,12,20,1,7.75,5.99,10876,114
2011,12,21,2,10.305555,5.99,10989,156
2011,12,22,3,10,5.99,11081,177
2011,12,23,4,5.861111,5.99,11211,236
2011,12,24,5,5.555555,5.99,10975,138
2011,12,26,0,5.611111,5.99,11294,127
2011,12,27,1,8.277777,5.99,11381,143
2011,12,28,2,10.611111,5.99,11425,116
2011,12,29,3,11,5.99,11509,129
2011,12,30,4,12.222222,5.99,11603,152
2011,12,31,5,9.694444,5.99,11451,173
2012,1,2,0,9.138888,5.99,11640,291
2012,1,3,1,8.277777,5.99,11629,209
2012,1,4,2,11.722222,5.99,11694,203
2012,1,5,3,9.694444,5.99,11702,140
2012,1,6,4,7.611111,5.99,11780,147
2012,1,7,5,13.888888,5.99,11633,182
2012,1,8,6,12.5,5.99,11451,209
2012,1,9,0,9.138888,5.99,11534,221
2012,1,10,1,8.833333,5.99,11532,148
2012,1,11,2,8.888888,5.99,11599,144
2012,1,12,3,8.888888,5.99,11670,144
2012,1,13,4,9.138888,5.99,11729,132
2012,1,14,5,8.833333,5.99,11597,153
2012,1,15,6,6.722222,5.99,11444,188
2012,1,16,0,4.694444,5.99,11256,166
2012,1,17,1,5.611111,5.99,11321,160
2012,1,18,2,5.861111,5.99,11376,144
2012,1,19,3,8.944444,5.99,11435,132
2012,1,20,4,13.888888,5.99,11508,134
2012,1,21,5,11.861111,5.99,11374,173
2012,1,22,6,11,5.99,11201,171
2012,1,23,0,12,5.99,11215,114
2012,1,24,1,10.611111,5.99,11297,125
2012,1,25,2,13,5.99,11369,126
2012,1,26,3,13.277777,5.99,11431,117
2012,1,27,4,11,5.99,11510,125
2012,1,28,5,9.694444,5.99,11385,130
2012,1,29,6,11.166666,5.99,11255,170
2012,1,30,0,10.611111,5.99,11274,118
2012,1,31,1,10.611111,5.99,11309,82
2012,2,1,2,10,5.99,11424,126
2012,2,2,3,8.277777,5.99,11519,150
2012,2,3,4,10.305555,5.99,11567,127
2012,2,4,5,11.111111,5.99,11440,175
2012,2,5,6,11.111111,5.99,11265,190
2012,2,6,0,13.888888,5.99,11323,177
2012,2,7,1,13.027777,5.99,11355,138
2012,2,8,2,12.111111,5.99,11446,158
2012,2,9,3,13.583333,5.99,11514,155
2012,2,10,4,13.583333,5.99,11581,151
2012,2,11,5,11.111111,5.99,11430,196
2012,2,12,6,10.611111,5.99,11234,207
2012,2,13,0,9,5.99,11267,169
2012,2,14,1,8.277777,5.99,11292,123
2012,2,15,2,8.888888,5.99,11362,122
2012,2,16,3,10.611111,5.99,11435,124
2012,2,17,4,11.111111,5.99,11515,133
2012,2,18,5,11.111111,5.99,11382,174
2012,2,19,6,8.888888,5.99,11208,198
2012,2,20,0,10.611111,5.99,11010,188
2012,2,21,1,11.722222,5.99,11042,149
2012,2,22,2,12.5,5.99,11101,137
2012,2,23,3,15.611111,5.99,11149,114
2012,2,24,4,15.861111,5.99,11239,133
2012,2,25,5,10.305555,5.99,11106,185
2012,2,26,6,8.027777,5.99,10921,240
2012,2,27,0,7.777777,5.99,10917,165
2012,2,28,1,10,5.99,10968,145
2012,2,29,2,9.388888,5.99,11007,113
2012,3,1,3,9.138888,5.99,11115,150
2012,3,2,4,10,5.99,11158,122
2012,3,3,5,12.777777,5.99,11036,165
2012,3,4,6,13.583333,5.99,10871,220
2012,3,5,0,10,5.99,10920,198
2012,3,6,1,9,5.99,10979,186
2012,3,7,2,9.694444,5.99,10982,118
2012,3,8,3,12.777777,5.99,11104,169
2012,3,9,4,11.166666,5.99,11161,155
2012,3,10,5,10,5.99,11006,207
2012,3,11,6,10.305555,5.99,11107,237
2012,3,12,0,13.027777,5.99,11119,178
2012,3,13,1,12.888888,5.99,11163,151
2012,3,14,2,13.888888,5.99,11251,168
2012,3,15,3,15,5.99,11285,131
2012,3,16,4,14,5.99,11376,151
2012,3,17,5,8.277777,5.99,11225,171
