@relation QueryResult

@attribute Year numeric
@attribute Month numeric
@attribute Day numeric
@attribute WeekDay numeric
@attribute Price numeric

@data
2013,8,15,3,3.18815
2013,8,16,4,3.1575
2013,8,19,0,3.2025
2013,8,20,1,3.1725
2013,8,21,2,3.1919
2013,8,22,3,3.1525
2013,8,23,4,3.16875
2013,8,26,0,3.33565
2013,8,27,1,3.31625
2013,8,28,2,3.3019
2013,8,29,3,3.2719
2013,8,30,4,3.2744
2013,9,3,1,3.2375
2013,9,4,2,3.2319
2013,9,5,3,3.1969
2013,9,6,4,3.23815
2013,9,9,0,3.2044
2013,9,10,1,3.23125
2013,9,11,2,3.2394
2013,9,12,3,3.2644
2013,9,13,4,3.2025
2013,9,16,0,3.2044
2013,9,17,1,3.2125
2013,9,18,2,3.2275
2013,9,19,3,3.28125
2013,9,20,4,3.2294
2013,9,23,0,3.2694
2013,9,24,1,3.28815
2013,9,25,2,3.34815
2013,9,26,3,3.39315
2013,9,27,4,3.40565
2013,9,30,0,3.39565
2013,10,1,1,3.4169
2013,10,2,2,3.43
2013,10,3,3,3.44315
2013,10,4,4,3.43315
2013,10,7,0,3.475
2013,10,8,1,3.46565
2013,10,9,2,3.45065
2013,10,10,3,3.425
2013,10,11,4,3.46
2013,10,14,0,3.4594
2013,10,15,1,3.42815
2013,10,16,2,3.40565
2013,10,17,3,3.42815
2013,10,18,4,3.52625
2013,10,21,0,3.4944
2013,10,22,1,3.50315
2013,10,23,2,3.50875
2013,10,24,3,3.4825
2013,10,25,4,3.45815
2013,10,28,0,3.4044
2013,10,29,1,3.40875
2013,10,30,2,3.37065
2013,10,31,3,3.3369
2013,11,1,4,3.33565
2013,11,4,0,3.3169
2013,11,5,1,3.2825
2013,11,6,2,3.26815
2013,11,7,3,3.2669
2013,11,8,4,3.24
2013,11,11,0,3.23125
2013,11,12,1,3.225
2013,11,13,2,3.22625
2013,11,14,3,3.2244
2013,11,15,4,3.21875
2013,11,18,0,3.2119
2013,11,19,1,3.25
2013,11,20,2,3.2325
2013,11,21,3,3.24315
2013,11,22,4,3.245
2013,11,24,6,3.28125
2013,11,25,0,3.2975
2013,11,26,1,3.27875
2013,11,27,2,3.32315
2013,11,29,4,3.34125
2013,12,2,0,3.3144
2013,12,3,1,3.3444
2013,12,4,2,3.31
2013,12,5,3,3.25815
2013,12,6,4,3.25375
2013,12,9,0,3.2525
2013,12,10,1,3.1975
2013,12,11,2,3.20565
2013,12,12,3,3.1669
2013,12,13,4,3.14565
2013,12,16,0,3.10815
2013,12,17,1,3.0944
2013,12,18,2,3.0619
2013,12,19,3,3.05065
2013,12,20,4,3.06815
2013,12,23,0,3.04625
2013,12,24,1,3.0319
2013,12,26,3,3.02875
2013,12,27,4,3.04065
2013,12,30,0,3.00065
2013,12,31,1,3.02565
2014,1,1,2,3.02565
2014,1,2,3,2.98375
2014,1,3,4,3.03315
2014,1,6,0,3.03065
2014,1,7,1,3.0119
2014,1,8,2,2.93815
2014,1,9,3,2.9225
2014,1,10,4,2.84065
2014,1,13,0,2.8644
2014,1,14,1,2.8969
2014,1,15,2,2.8369
2014,1,16,3,2.86065
2014,1,17,4,2.8144
2014,1,21,1,2.8094
2014,1,22,2,2.80565
2014,1,23,3,2.8494
2014,1,24,4,2.83125
2014,1,27,0,2.8194
2014,1,28,1,2.8294
2014,1,29,2,2.7544
2014,1,30,3,2.76875
2014,1,31,4,2.775
2014,2,3,0,2.8194
2014,2,4,1,2.9269
2014,2,5,2,2.935
2014,2,6,3,2.8994
2014,2,7,4,2.88875
2014,2,10,0,2.9275
2014,2,11,1,2.94565
2014,2,12,2,2.9294
2014,2,13,3,2.9725
2014,2,14,4,2.9875
2014,2,18,1,3.06065
2014,2,19,2,3.1019
2014,2,20,3,3.0794
2014,2,21,4,3.0494
2014,2,24,0,3.08625
2014,2,25,1,3.08625
2014,2,26,2,3.0269
2014,2,27,3,2.9519
2014,2,28,4,3.0019
2014,3,3,0,3.1725
2014,3,4,1,3.21625
2014,3,5,2,3.2019
2014,3,6,3,3.23315
2014,3,7,4,3.2675
2014,3,10,0,3.19815
2014,3,11,1,3.29065
2014,3,12,2,3.42065
2014,3,13,3,3.36065
2014,3,14,4,3.43315
2014,3,17,0,3.37315
2014,3,18,1,3.4594
2014,3,19,2,3.57815
2014,3,20,3,3.5319
2014,3,21,4,3.46125
2014,3,24,0,3.5669
2014,3,25,1,3.5469
2014,3,26,2,3.4869
2014,3,27,3,3.5525
2014,3,28,4,3.47565
2014,3,31,0,3.48565
2014,4,1,1,3.4269
2014,4,2,2,3.34315
2014,4,3,3,3.37625
2014,4,4,4,3.35125
2014,4,7,0,3.38315
2014,4,8,1,3.39625
2014,4,9,2,3.34125
2014,4,10,3,3.31125
2014,4,11,4,3.29565
2014,4,14,0,3.39065
2014,4,15,1,3.50815
2014,4,16,2,3.44
2014,4,17,3,3.45125
2014,4,21,0,3.3444
2014,4,22,1,3.3619
2014,4,23,2,3.3819
2014,4,24,3,3.4519
2014,4,25,4,3.5044
2014,4,28,0,3.5444
2014,4,29,1,3.57815
2014,4,30,2,3.6075
2014,5,1,3,3.54315
2014,5,2,4,3.58
2014,5,5,0,3.6369
2014,5,6,1,3.69315
2014,5,7,2,3.6944
2014,5,8,3,3.67315
2014,5,9,4,3.61375
2014,5,11,6,3.61375
2014,5,12,0,3.5744
2014,5,13,1,3.54815
2014,5,14,2,3.4519
2014,5,15,3,3.3894
2014,5,16,4,3.3744
2014,5,19,0,3.37565
2014,5,20,1,3.34565
2014,5,21,2,3.3169
2014,5,22,3,3.29815
2014,5,23,4,3.2594
2014,5,27,1,3.2044
2014,5,28,2,3.19315
2014,5,29,3,3.16125
2014,5,30,4,3.14065
2014,6,2,0,3.1019
2014,6,3,1,3.06065
2014,6,4,2,3.0694
2014,6,5,3,3.02565
2014,6,6,4,3.0969
2014,6,9,0,3.07125
2014,6,10,1,3.00565
2014,6,11,2,2.9444
2014,6,12,3,2.9244
2014,6,13,4,2.92565
2014,6,16,0,2.9019
2014,6,17,1,2.9075
2014,6,18,2,2.93125
2014,6,19,3,2.9694
2014,6,20,4,2.9244
2014,6,23,0,2.94565
2014,6,24,1,2.9
2014,6,25,2,2.92065
2014,6,26,3,2.9219
2014,6,27,4,2.9644
2014,6,30,0,2.88375
2014,7,1,1,2.86565
2014,7,2,2,2.88315
2014,7,3,3,2.8975
2014,7,6,6,2.8975
2014,7,7,0,2.79125
2014,7,8,1,2.7794
2014,7,9,2,2.75625
2014,7,10,3,2.74315
2014,7,11,4,2.6294
2014,7,14,0,2.6919
2014,7,15,1,2.69125
2014,7,16,2,2.69
2014,7,17,3,2.75625
2014,7,18,4,2.65875
2014,7,21,0,2.65125
2014,7,22,1,2.6244
2014,7,23,2,2.6494
2014,7,24,3,2.645
2014,7,25,4,2.68815
2014,7,28,0,2.6744
2014,7,29,1,2.60315
2014,7,30,2,2.64
2014,7,31,3,2.6519
2014,8,1,4,2.66875
2014,8,3,6,2.66875
2014,8,4,0,2.7244
2014,8,5,1,2.76065
2014,8,6,2,2.83815
2014,8,7,3,2.80815
2014,8,8,4,2.7394
2014,8,11,0,2.73375
2014,8,12,1,2.69125
2014,8,13,2,2.6369
2014,8,14,3,2.68065
2014,8,15,4,2.75815
2014,8,18,0,2.7119
2014,8,19,1,2.73315
2014,8,20,2,2.6975
2014,8,21,3,2.7325
2014,8,22,4,2.74625
2014,8,25,0,2.77815
2014,8,26,1,2.7794
2014,8,27,2,2.8069
2014,8,28,3,2.8544
2014,8,29,4,2.8169
2014,9,2,1,2.77375
2014,9,3,2,2.6769
2014,9,4,3,2.6494
2014,9,5,4,2.6769
2014,9,8,0,2.66875
2014,9,9,1,2.6444
2014,9,10,2,2.59815
2014,9,11,3,2.54565
2014,9,12,4,2.5125
2014,9,15,0,2.5019
2014,9,16,1,2.4844
2014,9,17,2,2.4969
2014,9,18,3,2.44065
2014,9,19,4,2.37
2014,9,22,0,2.38315
2014,9,23,1,2.37875
2014,9,24,2,2.4019
2014,9,25,3,2.37125
2014,9,26,4,2.3744
2014,9,29,0,2.4044
2014,9,30,1,2.39315
2014,10,1,2,2.39315
2014,10,2,3,2.41875
2014,10,3,4,2.43065
2014,10,6,0,2.4569
2014,10,7,1,2.5344
2014,10,8,2,2.5394
2014,10,9,3,2.4669
2014,10,10,4,2.49375
2014,10,13,0,2.52565
2014,10,14,1,2.5469
2014,10,15,2,2.53875
